dt,atm_id,predicted_withdrawn_kwd,predicted_withdraw_count
2025-10-28,ATM_0004,1274.060714285714,45
2025-10-29,ATM_0004,1274.060714285714,45
2025-10-30,ATM_0004,1274.060714285714,45
2025-10-31,ATM_0004,1274.060714285714,45
2025-11-01,ATM_0004,1274.060714285714,45
2025-11-02,ATM_0004,1274.060714285714,45
2025-11-03,ATM_0004,1274.060714285714,45
2025-11-04,ATM_0004,1274.060714285714,45
2025-11-05,ATM_0004,1274.060714285714,45
2025-11-06,ATM_0004,1274.060714285714,45
2025-11-07,ATM_0004,1274.060714285714,45
2025-11-08,ATM_0004,1274.060714285714,45
2025-11-09,ATM_0004,1274.060714285714,45
2025-10-28,ATM_0005,1334.196428571429,47
2025-10-29,ATM_0005,1334.196428571429,47
2025-11-01,ATM_0005,1334.196428571429,47
2025-11-02,ATM_0005,1334.196428571429,47
2025-11-03,ATM_0005,1334.196428571429,47
2025-11-04,ATM_0005,1334.196428571429,47
2025-11-05,ATM_0005,1334.196428571429,47
2025-11-06,ATM_0005,1334.196428571429,47
2025-11-07,ATM_0005,1334.196428571429,47
2025-11-08,ATM_0005,1334.196428571429,47
2025-11-09,ATM_0005,1334.196428571429,47
2025-11-10,ATM_0005,1334.196428571429,47
2025-10-28,ATM_0006,923.7214285714288,30
2025-10-29,ATM_0006,923.7214285714288,30
2025-10-30,ATM_0006,923.7214285714288,30
2025-10-31,ATM_0006,923.7214285714288,30
2025-11-01,ATM_0006,923.7214285714288,30
2025-11-02,ATM_0006,923.7214285714288,30
2025-11-03,ATM_0006,923.7214285714288,30
2025-11-05,ATM_0006,923.7214285714288,30
2025-11-06,ATM_0006,923.7214285714288,30
2025-11-07,ATM_0006,923.7214285714288,30
2025-11-08,ATM_0006,923.7214285714288,30
2025-11-09,ATM_0006,923.7214285714288,30
2025-11-10,ATM_0006,923.7214285714288,30
2025-10-28,ATM_0007,1040.696428571429,38
2025-10-29,ATM_0007,1040.696428571429,38
2025-10-30,ATM_0007,1040.696428571429,38
2025-10-31,ATM_0007,1040.696428571429,38
2025-11-01,ATM_0007,1040.696428571429,38
